epoch,train_loss,validation_loss
1,0.017116140574216843,0.01417175866663456
2,0.014001980889588594,0.011335775256156921
3,0.011176669504493475,0.008995754644274712
4,0.008980241138488054,0.007142563350498676
5,0.007153150159865618,0.0057477266527712345
6,0.005874277325347066,0.004763452336192131
7,0.004947502166032791,0.0041262018494307995
8,0.00438008620403707,0.0037627224810421467
9,0.00401809997856617,0.0035906105767935514
10,0.0038861169014126062,0.0035312543623149395
11,0.0037920046597719193,0.0035169157199561596
12,0.003784468281082809,0.003500398714095354
13,0.003732527024112642,0.0034526968374848366
14,0.0036051450297236443,0.003361833980306983
15,0.003571317531168461,0.003231760347262025
16,0.003475092467851937,0.0030772611498832703
17,0.003197478479705751,0.0029157993849366903
18,0.0031192991882562637,0.0027662673965096474
19,0.0030407949816435575,0.002639979124069214
20,0.0028204729314893484,0.002541538327932358
21,0.0027092158561572433,0.0024696998298168182
22,0.0026962540578097105,0.002418674062937498
23,0.002677151933312416,0.0023793568834662437
24,0.0026286891661584377,0.0023442560341209173
25,0.002515234868042171,0.002308372873812914
26,0.0025146518601104617,0.0022689865436404943
27,0.0024826626759022474,0.0022264174185693264
28,0.0024742900859564543,0.0021819951944053173
29,0.002410824876278639,0.0021372265182435513
30,0.002361705992370844,0.002095608040690422
31,0.002347526839002967,0.002058034297078848
32,0.0022604980040341616,0.002023969776928425
33,0.002256748382933438,0.001993130426853895
34,0.0022601339733228087,0.0019637015648186207
35,0.002194356406107545,0.0019345543114468455
36,0.0022228677989915013,0.0019054377917200327
37,0.0021464023739099503,0.0018764764536172152
38,0.0021347524598240852,0.0018476209370419383
39,0.002004989073611796,0.0018196830060333014
40,0.0020196438999846578,0.0017933594062924385
41,0.002007356728427112,0.0017682062461972237
42,0.00198799348436296,0.0017439661314710975
43,0.0019742552540265024,0.0017205780604854226
44,0.0019240413676016033,0.0016979462234303355
45,0.0019316407851874828,0.0016756776021793485
46,0.0019118065829388797,0.001653783256188035
47,0.0018832445493899286,0.0016324191819876432
48,0.0018143747583962977,0.0016109946882352233
49,0.0018036796827800572,0.0015898090787231922
50,0.001836622424889356,0.0015691490843892097
51,0.0017931241309270263,0.0015487961936742067
52,0.0017811133875511587,0.0015288270078599453
53,0.0017257064464502037,0.0015092535177245736
54,0.0016892311396077275,0.0014899926027283072
55,0.0016809492371976376,0.0014710065443068743
56,0.0016593827749602497,0.0014524694997817278
57,0.0016752072260715067,0.0014347239630296826
58,0.0016879335744306445,0.0014175288379192352
59,0.0016398417064920068,0.0014009791193529963
60,0.0015957269351929426,0.0013849425595253706
61,0.0016651767073199153,0.0013694692170247436
62,0.0015631201677024364,0.0013544500106945634
63,0.001560131786391139,0.0013399485033005476
64,0.0015391745837405324,0.001325679011642933
65,0.0015197672182694077,0.0013119622599333525
66,0.0015521175228059292,0.001298626884818077
67,0.0014960269327275455,0.0012854412198066711
68,0.0014877516659907997,0.0012726665008813143
69,0.001479431171901524,0.0012601368362084031
70,0.0014306477387435734,0.0012479790020734072
71,0.001400228647980839,0.0012360853143036366
72,0.001482878695242107,0.0012244984973222017
73,0.0014003970427438617,0.0012129975948482752
74,0.0013630700996145606,0.0012017020490020514
75,0.00136339949676767,0.0011906439904123545
76,0.0014183882740326226,0.0011797124752774835
77,0.0013939712080173194,0.0011689929524436593
78,0.0013616611831821501,0.0011585900792852044
79,0.0013428478268906474,0.0011482987320050597
80,0.0013541888911277056,0.0011383411474525928
81,0.0013441966148093343,0.001128368079662323
82,0.0013311897637322545,0.00111849803943187
83,0.0013033566065132618,0.0011089053004980087
84,0.0012527444050647318,0.0010994820622727275
85,0.0012827262398786843,0.0010903297225013375
86,0.0012612843420356512,0.001081307651475072
87,0.0012539789895527065,0.0010723352897912264
88,0.001252515590749681,0.0010634275386109948
89,0.0012181184720247984,0.0010547860292717814
90,0.0012258970527909696,0.0010464388178661466
91,0.0011966333840973675,0.0010384084889665246
92,0.0012043596361763775,0.0010307083139196038
93,0.0011729509569704533,0.0010232474887743592
94,0.0011892884504050016,0.0010159091325476766
95,0.0011642264435067773,0.0010086589027196169
96,0.0011272513656876981,0.0010017050663009286
97,0.0011600501602515578,0.0009950201492756605
98,0.0011681887554004788,0.0009883693419396877
99,0.0011412755120545626,0.000982018536888063
100,0.0011429384467191994,0.0009757644147612154
101,0.0011427458957768977,0.0009696267079561949
102,0.0011036130017600954,0.0009637478506192565
103,0.0010884255752898753,0.0009580639307387173
104,0.0011167836491949856,0.0009524619672447443
105,0.0011002935352735221,0.0009470712393522263
106,0.001119432330597192,0.0009418276604264975
107,0.0010590447927825153,0.0009367051534354687
108,0.0010707746259868145,0.0009316636715084314
109,0.001069411460775882,0.0009266691631637514
110,0.0010490028071217239,0.0009218837367370725
111,0.0010131432209163904,0.0009172835270874202
112,0.0010277403052896261,0.0009128329111263156
113,0.0010284326563123614,0.0009084786288440228
114,0.0010405853972770274,0.0009041711455211043
115,0.0010249162442050874,0.0009000117424875498
116,0.0010087492410093546,0.0008960250997915864
117,0.0010515967733226717,0.0008921166881918907
118,0.0009897868731059134,0.0008881821995601058
119,0.0010029977420344949,0.0008842499228194356
120,0.0009975407156161964,0.0008802613010630012
121,0.0009747224685270339,0.000876360631082207
122,0.0009678984642960131,0.0008725117659196258
123,0.0010086628899443895,0.0008689817041158676
124,0.0009930233645718545,0.0008655722485855222
125,0.0009505458001513034,0.0008623276953585446
126,0.0009607089741621166,0.0008591325604356825
127,0.0009877307747956365,0.0008561069844290614
128,0.0009784415597096086,0.0008530776249244809
129,0.0009516189456917346,0.000849928823299706
130,0.000969672342762351,0.0008468304295092821
131,0.0009417058317922056,0.000843574816826731
132,0.0009410203492734581,0.0008404174004681408
133,0.00095433319802396,0.000837431289255619
134,0.0009504465851932764,0.0008345479145646095
135,0.0009214457240886986,0.0008316910825669765
136,0.0008831634768284857,0.0008290839614346623
137,0.0008960609557107091,0.0008266642107628286
138,0.0008928740862756968,0.0008243031334131956
139,0.0009326908329967409,0.0008219665032811463
140,0.0009130315447691828,0.0008195433183573186
141,0.000897556368727237,0.0008170393412001431
142,0.0009015261603053659,0.0008143085869960487
143,0.0009001565049402416,0.0008118233527056873
144,0.0009174476144835353,0.000809285556897521
145,0.0008849877631291747,0.0008068400202319026
146,0.0008911579789128155,0.0008046007715165615
147,0.0009061871969606727,0.0008024583803489804
148,0.0008794094901531935,0.0008003265247680247
149,0.000872917240485549,0.0007981713861227036
150,0.000880762905580923,0.000795934465713799
151,0.0008801775693427771,0.0007936221081763506
152,0.0008857786888256669,0.0007913097506389022
153,0.0008850852900650352,0.0007890184642747045
154,0.0008910673495847732,0.0007867589592933655
155,0.0008364951354451478,0.0007846665102988482
156,0.0008681672916281968,0.0007825957145541906
157,0.0008373201126232743,0.0007803666521795094
158,0.0008585310424678028,0.0007781411986798048
159,0.0008461305114906281,0.0007759832660667598
160,0.0008581446891184896,0.0007737779524177313
161,0.0008224298653658479,0.0007715938263572752
